PostDate,Content,Author,RelativeDate,Likes,Dislikes
6 months ago,https://www.beevt.com/investors/2021investorday,john,,0,0
6 months ago,Up 10%!!! Finally movement...,john,,1,0
6 months ago,Getting fired up! Excited to hear the news at the investor conference!,konrad,,0,0
6 months ago,Long term, believe,DARIO,,4,0
7 months ago,Canadian Scam?,Sebastian,,1,5
7 months ago,Wow sure quiet around here lately.This is dated July 30. Letter from ceo "we are very pleased with the commercialization progress that was made in the 2021 season over the 2020 season (our inaugural year for commercialization in the US). This year we opened six new crop/geographic markets, retained 100% of our customer base in Georgia (which is our largest market thus far) and added new customers in Georgia, Michigan, New Jersey, Oregon, and Washington – plus secured new trials in California where BVT just received regulatory approval in January;",john,,3,2
8 months ago,Finally hit support,Michael,,0,0
8 months ago,What would be really interesting as a "down the road" enterprise, would be a hornet package that would target invasive insects that damage food and timber crops.  They worked with University of North Dakota on the sunflower rollout as per today's news. They could work with a number of universities and colleges to identify wasp species and potential fungicidal delivery processes to target invasive insects like emerald ash borer, various oak boarers, and potentially/hopefully the growing threats of Spotted Lanternfly in Pennsylvania that is threatening grapes, apples, and hardwood species.    This might be a platform for eventually selling product to farmers and landowners/timber growers/municipalities for control of biological invasives.  For example- https://entomologytoday.org/2019/07/10/promising-new-parasitoid-drills-down-emerald-ash-borers-spathius-galinae/#:~:text=The%20parasitoid%20wasp%20Spathius%20galinae%20has%20been%20examined,emerald%20ash%20borers%20as%20high%20as%2049%20percent.More,DanH,,3,1
9 months ago,,Malik,,0,2
9 months ago,would have thought this would.have started the move up. not sure what is going on here,Cobra Kai,,0,0
9 months ago,Amazing projects with TONS of PATENTS  which is the key to success,     PAYtience  and you will be rewarded,JohnnyGo4it,,3,2
9 months ago,Does anyone know if there is potential for adoption of this product/technology for citrus crops?  I don't see anything on their website that includes citrus as a crop they are interested in working with, but I would have to imagine there would be some level accessibility there to further open up California, Florida, and future expansions to Brazil and rest of South America.,DanH,,0,0
9 months ago,Anyone know if they have started any tests on almond crops?  I would hope the new sales push in California will yield some movement there.,DanH,,0,1
9 months ago,wow can't believe this has not shot up yet. I guess we will have to wait longer to get some traction. we just need to beelieve,Cobra Kai,,8,1
10 months ago,A bargain here.I am mostly in smaller mining stocks looking for 3x+ in next year, but BEVVF is very compelling.My opinion is strong likelyhood Bee Vectoring is $2? Someday this one will be all a buzzzzzMore,Ronald,,0,0
10 months ago,With California's looming water-shortage, this season should be huge for BEE.CN if it's claims of 95% less water usage are true,Michael,,3,0
10 months ago,I bought over 40 cents as well a while back and after seeing the news that just hit. looks like we are finally going to see the price go up and with more exposure this is going to be a game changer in the future.,Cobra Kai,,0,0
10 months ago,If this drops a few more pennys I'm going to have to finds some more money.,rwfb,,3,0
10 months ago,No you are not a idiot. hold on and it will eventually get there. I've been looking for that 40 cent price but have not seen it, when did you buy?,rwfb,,0,0
11 months ago,I like gods bees.  I like up and coming tech.  I bought in! Where can I get a Bee Tech TShirt?,Ronald,,0,0
11 months ago,alot of volume today! any on e got a handle on why?,rwfb,,0,0
11 months ago,why was this halted most of the day,Cobra Kai,,0,0
11 months ago,On what platform can you purchase this stock?,Bananarama,,0,0
11 months ago,just joined the Bee Vectoring club. I think the future is bright for this new tech.,rwfb,,5,0
last year,great concept.  any updates it seems as though trading has halted.,thomas,,0,0
last year,Such a cool concept. Love the harmony with nature aspect.,Isaac,,1,0
last year,With all the good news this stock still doesn't move.....can someone explain that to me ??,Notagain,,0,0
last year,https://www.rally-co.ca/post/bee-ca-fy-2021-targets,Arima11,,1,0
last year,Long and strong on this one folks. Such a cool concept and technology’s share with friends and family.,joshua,,0,0
last year,Bought 50000 shares of BEE today. Like all startups it is risky and will take time to become profitable; but the technology is promising and so environmentally friendly it will very likely be a big winner once they start generating significant revenue. Prepared to hold it for a few years.,stpicker,,13,1
last year,I have a good feeling that with the news today we are finally going to start seeing this move upwards from here.,Cobra Kai,,0,0
last year,,Isaac,,2,0
last year,very interesting tech definitely going to be opening a position nxt week I see this tech with applications outside of strictly industrial agriculture,Grunt,,0,0
last year,Following this already for a long time. beautiful company and business model. will start a position Monday and leave it for long. I see a 25 whopper here with the Californian trials starting. GLTA,Erik,,0,0
last year,Lots of good news keeps coming,Scott Mah,,0,0
last year,why is this tanking today. I guess we just need to beelieve,Cobra Kai,,1,0
last year,once the farming season starts i can see this take off. great technology and company.,Cobra Kai,,0,0
last year,This might be a 10 or 20 bagger...Holding for da next few years,Jerry,,0,0
last year,looks like people are starting to find out about this great company. few big buys have happened today.,Cobra Kai,,0,0
last year,bought in at 42 cents and it goes down to 41 cents.  loll. Hopefully people will see this companies potential soon and then we should hopefully see a rise in the price v,Cobra Kai,,5,0
last year,I'll buy at 0.41 on Monday,for3terniy,,0,0
last year,I think this will take off this summer. I'm watching the SP closely,Michael,,0,0
last year,Very interesting company picked up this morning at .41 cents!,💰Chef💰,,0,0
last year,A true green technology! This company does not receive ENOUGH praise for this innovation in this polluted agricultural world. All the hype is on EV and batteries. THIS IS A TRUE CLEAN TECHNOLOGY- CLEANER THAN EV,konrad,,9,0
last year,I luv this company !  Checks the  green box, checks the scalable business box, checks the value proposition box and who doesn’t love bees...awesome, the approval in California is a catalyst to drive others !,Lisa,,0,0
last year,But the Sep 30 2020 year end financials were brutal!,Meredith,,0,0
last year,This is going to be huge. Loading up on every small dip!!!,Ryan,,3,0
last year,Think about it people... r and d has been fleshed out. The proof is in the pudding. 15-40% better yields means better profits for farmers. This is easy math here. The agriculture sector needs this more than they know it, but this summer they will finally discover why. California will be the red carpet walk for BEE and I will be flying high with them. Super stock in the making. Yeah not much volume right now but just wait for those results from contract sales. The recurring rev... the reputation building... better tasting food. All pros all gold!,Dylan,,0,0
last year,Get ready for summer earnings. I think this could definitely be the breakout year for BEE.,Dylan,,0,0
last year,buy buy buy,Marco,,1,0
last year,Volume is 0,Mr. Wick,,1,0
last year,Can you buy options for this? If so, which broker?,joe,,0,0
last year,Has anyone loaded up?!,Dylon,,1,0
last year,Anyone still in here guys? This is looking very interesting to me.,Erik,,1,0
last year,Great buy-in price now. Next year should be a breakout year.,Marco,,3,0
2 years ago,Do like the ingenuity concept of this company.Actually was the very first stock I bought after getting back in after being out many years.Ended up selling it for a few pennies profit. Realized wasn't progressive. The stock is artificially held up to this price point.And it's a seasonal business...maybe rebuy at this price next year.More,Knowfoolin,,0,0
2 years ago,drop it like it's hot,for3terniy,,2,0
2 years ago,BEE is no longer on the TSX. As of today. they will be listed on the CSE.,Julius Caesar,,0,1
2 years ago,http://www.beevt.com/industry-news/articles/08122020-quality-and-yield-up-as-swiss-organic-grower-trials-bee-delivered-crop-protection-system,Julius Caesar,,0,0
2 years ago,should be .50 minimum now,Marco,,2,0
2 years ago,The European patent grant (Patent Number EP3044307B1) recognizes the unique properties of BVT’s proven CR-7 strain as a plant-beneficial microbe that offers natural control of various plant diseases. It also protects CR-7 independently of its use as a biologic control agent vectored by bees, enabling the Company to also develop revenue streams in foliar sprays and seed treatments in the well-established traditional global fungicide market.The current global fungicides market is valued at US$18.7 billion and projected to grow to US$24.5 billion by 2025(2). This growth is due to increased demand for food security by a growing population, advances in farming practices and techniques, and changing climate conditions that lead to disease. Fungicides are used to destroy harmful fungi that affect crop yields.More,Malik,,1,0
2 years ago,Dead in the water.,w,,0,0
2 years ago,All I'm asking is .45 maybe .50 with the positive news...is that too much?,Notagain,,3,0
2 years ago,http://www.beevt.com/press-releases/06172020-bee-vectoring-technologies-to-present-at-june-2020-lytham-partners-virtual-investor-growth-conference?platform=hootsuite,miko,,2,1
2 years ago,I can't wait for the moment investors realize they missed a huge oppurtinity in the long runhttps://finance.yahoo.com/news/bee-vectoring-technologies-expands-us-050000953.html,Davide,,0,0
2 years ago,I love cranberries,Marco,,2,0
2 years ago,We need an analyst to update our price target.,Araho,,3,0
2 years ago,https://stockhouse.com/news/press-releases/2020/04/28/bee-vectoring-technologies-secures-at-will-equity-financing-with-alumina,Julius Caesar,,0,0
2 years ago,Stunning endorsements from blueberry growers will lead to adoption on most of the 60,000 acres in the Georgia region in the next growing season.,Dulu,,2,2
2 years ago,https://stockhouse.com/news/press-releases/2020/04/07/bee-vectoring-technologies-to-begin-first-crop-demonstrations-in-morocco,Julius Caesar,,0,0
2 years ago,If there is a food shortage bees will be an asset ...an important asset...,Notagain,,3,0
2 years ago,The behive has been quite for awhile.,Araho,,1,0
2 years ago,https://capital10x.com/bee-vectoring-technologies-bvt-ceo-2020-outlook/?platform=hootsuite,Julius Caesar,,0,0
2 years ago,Feeling pretty bullish here again, i think the spring will bring a nice run, should hear some harvest reports in the near future as well.,Finance2020,,0,0
2 years ago,This stock could bounce soon,for3terniy,,2,0
2 years ago,Back to square one on options.,Araho,,0,0
2 years ago,.40 to .45 tomorrow. Well probably see some bouncing at .38,Finance2020,,1,1
2 years ago,What the hell happened today ??,Scott Mah,,0,0
2 years ago,,ToMareVacca,,0,0
2 years ago,Pullback tomorrow into low .50s,Finance2020,,0,0
2 years ago,Day 3 at 60 cents,Araho,,3,0
2 years ago,But if a pullback today. Hope it stays over the .60 cdn mark,The Deviant,,2,0
2 years ago,I dumped my 1000 shares to break even and .45 or so.go figure!,Bob,,0,0
2 years ago,Yahoo Finance has an estimated 1 yr target price of $14.25?  Not sure which analyst or how many of them are involved in that figure?,Mike,,0,0
2 years ago,Cashing out this climb is unsustainable, will buy back below .50cad,Finance2020,,0,0
2 years ago,deserves to be above 50 cents,Marco,,4,1
2 years ago,Waiting for cashout,Finance2020,,2,0
2 years ago,DAI DAI DAI!!!,ToMareVacca,,1,0
2 years ago,this is on its way to $1.00,Marco,,6,0
2 years ago,Creating a buzz lately.,Gord,,2,0
2 years ago,Someone mentionnrd BEE on Seeking Alpha board as his top pick for 2020. Hold tight your shares.,Araho,,2,0
2 years ago,In 4-5 years sp will be in the hundreds.,Julius Caesar,,2,0
2 years ago,$1 target?,Marco,,1,0
2 years ago,pure crapola!,Bob,,1,2
2 years ago,http://www.beevt.com/press-releases/11202019-bee-vectoring-technologies-sells-out-planned-florida-allocation-to-multiple-strawberry-growers?fbclid=IwAR3AQoO9cLD0SZbVjDl2JaNpKezu5Z0FQAEI5Ok0KlZ7WhygdvliyVvf5z8,Julius Caesar,,0,0
2 years ago,We are still far away from the TP.,Araho,,3,0
2 years ago,you know, after a few years of investing, you think I would learn to not buy in while it's on the way up...like I did yesterday.oops.  Good thing I went in with just a little,Bob,,2,0
2 years ago,oh yeah!!,Thomas,,2,0
2 years ago,is the $14.25 1 yr estimate really a thing?,SMP165,,1,0
2 years ago,https://finance.yahoo.com/news/bee-vectoring-technologies-granted-further-050000475.html,Julius Caesar,,0,0
2 years ago,Hey, there’s a BVT shareholders group on FB if anyone is interested. The group name is BVT shareholders. You have to ask oermission to join.,Julius Caesar,,0,0
2 years ago,What’s with all the down votes?,Julius Caesar,,0,1
2 years ago,Here’s some more good news. https://www.globenewswire.com/news-release/2019/10/23/1934369/0/en/Bee-Vectoring-Technologies-Closes-Non-brokered-Private-Placement.html,Julius Caesar,,0,0
2 years ago,I think it will really start to take of with one or two more deals released I believe BEE is in negotiations with 12-15 other companies.,Julius Caesar,,0,0
2 years ago,not sure why,  two orders I put in this week at a limit order never went through. none the less  glta!!!,Thomas,,0,0
2 years ago,News out. BVT announced Sizemore Farms, a top-tier grower of Florida strawberries, as the first commercial grower deal for their newly US EPA-registered product, VECTORITE™ with CR-7. The BVT system uses commercially-managed bees to carry its all natural plant protection product, VECTORITE™ with CR-7, directly to key areas of target plants – using significantly less product than traditional spray applications and reducing water and fossil fuel consumption.Sizemore Farms will be using the Company’s proprietary bee delivery system and VECTORITE™ with CR-7 on 100% of their 62-acre organic strawberry crop this season and is considering testing the naturally-derived fungicide on a portion of their 600+ conventional acres for possible implementation on next year's crop. Typically, growers start with a pilot on a smaller crop before progressively adopting it across their entire operation over two to three seasons. This progressive adoption and deployment of BVT product season over season is to be expected with the Company’s customer base of growers and farmers.More,Dulu,,3,10
2 years ago,Next week there’s gonna be big news!!!!,Julius Caesar,,1,5
2 years ago,Farmers could actually use BVT to reduce their crop insurance since it reduces crop loss that would otherwise have happened.,Dulu,,1,0
2 years ago,News article in the business section of the Globe &amp; Mail today. The headline reads - "BVT plans rapid expansion after obtaining certification from the U.S. EPA".,Dulu,,3,4
2 years ago,sad bee day,Thomas,,0,0
2 years ago,Too bad I maxeed out my position. I would buy more.,Araho,,1,0
3 years ago,I do like my honey bees. good luck guys !!,Thomas,,0,0
3 years ago,Any contract? We need revenus.,Araho,,1,0
3 years ago,500 of those shares today be mine. best of luck my friends!,Thomas,,0,0
3 years ago,Has anybody tried Smude's Natural Popcorn?,Dulu,,0,0
3 years ago,is the  14.25 target for real?,Thomas,,0,0
3 years ago,hope our bees hang tough with Dorian knocking.glta!,Thomas,,0,0
3 years ago,boom,Marco,,1,0
3 years ago,Next stop to Mars.  The moon is too close.,Araho,,1,0
3 years ago,EPA approval confirmed!,Cheekbonedeep,,5,0
3 years ago,Still waiting fo EPA approval,Araho,,2,0
3 years ago,any update on EPA approval?,Araho,,1,0
3 years ago,Invoicing for 110 acres,Marco,,1,0
4 years ago,New contracts?,msg370z,,3,0
4 years ago,whats going on with this&gt;?? why is it rising?,Reaper,,1,0
4 years ago,Signed first contract in Florida. rest of the world to follow.,msg370z,,3,0
